Fecha,San_Carlos,San_Jose,Moche,Casa_Grande
01/01/2010,26.9,25.6,24.9,27.7
02/01/2010,28.9,29.3,29.0,28.72
03/01/2010,25.2,25.3,23.9,28.42
04/01/2010,28.7,28.4,28.4,28.67
05/01/2010,26.7,26.6,26.7,28.0
06/01/2010,28.2,29.9,28.6,30.0
07/01/2010,25.4,25.3,24.2,27.5
08/01/2010,26.7,27.3,25.4,28.5
09/01/2010,29.1,30.2,28.2,30.5
10/01/2010,28.6,29.7,28.1,28.5
11/01/2010,28.3,29.3,28.7,29.0
12/01/2010,28.7,29.6,28.6,29.5
13/01/2010,27.8,28.0,26.4,29.5
14/01/2010,26.6,26.1,26.1,27.0
15/01/2010,28.5,28.9,28.1,29.0
16/01/2010,24.8,24.8,23.8,26.5
17/01/2010,28.9,29.8,29.3,29.5
18/01/2010,28.1,28.7,27.4,27.5
19/01/2010,29.2,29.9,29.2,29.5
20/01/2010,28.7,29.3,28.9,30.0
21/01/2010,28.6,28.8,28.1,29.0
22/01/2010,28.1,28.9,28.7,29.0
23/01/2010,27.2,27.1,26.8,27.5
24/01/2010,28.5,29.8,28.6,29.5
25/01/2010,28.7,29.7,28.7,29.5
26/01/2010,29.0,28.2,27.9,28.5
27/01/2010,29.6,30.3,28.8,28.5
28/01/2010,29.7,30.7,28.3,29.0
29/01/2010,29.4,30.2,29.3,29.5
30/01/2010,30.6,30.8,28.9,29.5
31/01/2010,30.6,30.8,29.5,29.5
01/02/2010,29.0,29.3,28.7,29.0
02/02/2010,28.4,29.2,28.1,29.5
03/02/2010,29.6,30.6,29.1,30.5
04/02/2010,30.2,30.6,29.8,31.0
05/02/2010,28.8,28.8,26.9,29.0
06/02/2010,25.8,25.8,23.5,26.0
07/02/2010,25.8,26.4,27.3,25.0
08/02/2010,28.7,30.3,28.7,29.5
09/02/2010,28.5,29.2,29.2,29.5
10/02/2010,25.2,25.3,24.2,26.5
11/02/2010,28.9,29.7,28.9,29.5
12/02/2010,30.8,31.3,30.1,31.0
13/02/2010,30.8,31.2,30.2,31.5
14/02/2010,29.7,31.4,29.3,30.0
15/02/2010,29.4,29.5,29.2,29.5
16/02/2010,30.1,31.3,29.8,30.5
17/02/2010,31.1,32.4,30.8,31.0
18/02/2010,30.2,30.2,29.4,29.5
19/02/2010,30.3,30.3,29.1,30.0
20/02/2010,29.1,30.1,28.1,29.0
21/02/2010,29.1,31.0,29.7,29.5
22/02/2010,29.7,31.0,28.5,30.5
23/02/2010,30.8,31.4,30.3,30.5
24/02/2010,28.9,29.4,29.3,31.0
25/02/2010,29.0,30.6,29.3,30.0
26/02/2010,30.1,30.9,28.9,29.5
